2017-07-21 15:49:54,"b'RT @GottaLaff: 188-0: Obamacare Included Republican Ideas, but the G.O.P. Health Plan Has Left Democrats Out  https://t.co/TsYs57IAu6'"
2017-07-21 15:49:53,b'Israeli Aid Gives an Unexpected \xe2\x80\x98Glimmer of Hope\xe2\x80\x99 for Syrians https://t.co/7umRTo3gJE'
2017-07-21 15:49:52,"b'RT @paulkrugman: As Congressional Rs attack CBO for being honest, a reminder that this was all obvious long ago https://t.co/yZ6NJIMERV'"
2017-07-21 15:49:51,b'This is a great quiz. See how your dialect compares to the rest of the country: https://t.co/voSXhQS3en https://t.co/kyQ1xjdUza'
2017-07-21 15:49:51,b'RT @danpfeiffer: These Americans Hated the Health Law. Until the Idea of Repeal Sank In. https://t.co/ldJBdF3y09'
2017-07-21 15:49:50,b'RT @Fahrenthold: Good question. This great @nytimes story from last year says the recruiter Mar-a-Lago uses often draws from Romania. https\xe2\x80\xa6'
2017-07-21 15:49:49,"b'Laptop Ban on Planes Is Lifted, U.S. Officials Confirm https://t.co/9BzWZNgMLQ'"
2017-07-21 15:49:49,b'RT @dcpoll: What?!!\n\nTrump Expresses Anger at Sessions &amp; Comey \xe2\x80\x93Warns Mueller Not to Delve Into His Family Finances \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\n\n#maddow https://t.\xe2\x80\xa6'
2017-07-21 15:49:48,"b'RT @nytimes: \xe2\x80\x9cI can\xe2\x80\x99t even remember why I opposed it. ... Everybody needs some sort of health insurance."" https://t.co/LYqc6PhJCk'"
2017-07-21 15:49:46,b'RT @Bey_Legion: Beyonc\xc3\xa9 Wax Figure Removed from Madame Tussauds Following (well-deserved) Backlash https://t.co/IzRHlYEcHu https://t.co/31h\xe2\x80\xa6'
2017-07-21 15:49:44,"b'RT @meganfrancis: Racialized statecraft, surveillance, and the criminalization of poor black &amp; brown mothers. https://t.co/WowYxv2ejE'"
2017-07-21 15:49:43,b'RT @antwier: Take a moment and marvel at this remarkable reporting work. As good as it gets from a free press. @nytimes https://t.co/sPlsyQ\xe2\x80\xa6'
2017-07-21 15:49:43,b'RT @SenKamalaHarris: Senator @RandPaul and I think it\xe2\x80\x99s time for a nonpartisan approach to criminal justice reform. Retweet if you agree. h\xe2\x80\xa6'
2017-07-21 15:49:43,b'At Least 2 Palestinians Are Killed Amid Jerusalem Protests https://t.co/DPYrOvO35D'
2017-07-21 15:49:42,b'RT @mccanner: this is the very best kind of Vows column https://t.co/QukDdLii20'
